"SEASON","TMID","TMACTIVE","ABBREV","LOCATION","NICKNAME","TEAMSHORT","TEAMCODE","GENDER","LEAGUE","DIVISION","CONFERENCE","COACH","LEAGUEID","COLLEGEID","CSTV_TMID","TMCITY","TMSTATE","TMLOCATION"
"2012-2013",1,1,KVHS,Kennebecasis Valley High School,Crusaders,KVHS Crusaders,KVHS02,0,NBIAA,AAA SRB,South,Paul Vaughan,0,0,"1",Quispamais,NB, Kennebecasis Valley High
"2012-2013",2,1,SJHS,Saint John High School,Greyhounds,Saint John Greyhounds,SJHS02,0,NBIAA,AAA SRB,South,Peter Vincent,0,1718,"1",Saint John,NB,Saint John High School
"2012-2013",3,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2012-2013",4,1,SRHS,Sussex Regional High School,Sonics,Suusex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Byron Burton,0,0,"1",Sussex,NB,Sussex Regional High
"2012-2013",5,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's Saints,STM02,0,NBIAA,AAA SRB,South,Jeff Matheson,0,0,"1",Saint John,NB,St. Malachy's Memorial
"2012-2013",6,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,South,TBD,0,0,"1",Saint John,NB,Harbour View High School
"2012-2013",7,1,FHS,Fredericton High School,Kats,Fredericton Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2012-2013",8,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS,0,NBIAA,AAA SRB,West,John Hickey,0,0,"1",Fredericton,NB,Leo Hayes High School
"2012-2013",9,1,OHS,Oromocto High School,Blues,Oromocto Blue,OHS02,0,NBIAA,AAA SRB,West,TBD,0,0,"1",Oromocto,NB,Oromocto High School
"2012-2013",10,1,SSHS,St. Stephen High School,Spartans,St. Stephen Spartans,SSHS02,0,NBIAA,AA SRB,South,Dave Taylor,0,0,"1",St. Stpehen,NB,St. Stephen High School
"2012-2013",11,1,HTHS,Harrison Tremble High School,Trojans,Harrison Tremble Trojans,HTHS02,0,NBIAA,AAA SRB,East,Nick Earle,0,0,"1",Moncton,NB,Harrison Tremble High
"2012-2013",12,1,ADHS,Auburn Drive High School,Eagles,Auburn Drive Eagles,ADHS02,0,NSSAF,D1, ,Lance Sparks,0,0,"1",Dartmouth,NS,Auburn Drive High School
"2012-2013",13,1,CHS,Citadel High School,Phoenix,Citadel Phoenix,CHS02,0,NSSAF,D1, ,Mark Parker,0,0,"1",Halifax,NS,Citadel High School
"2012-2013",14,1,RHS,Rothesay High School,Red Hawkes,Rothesay Red Hawks,ROTH2,0,NBIAA,AA SRB,South,Jay Lavigne,0,0,"1",Rothesay,NB,Rothesay High School
